## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
C-000002,"1 Hour bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
C-000003,"1 Second bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
US8-000001,"1 Second tmr",false,"0",,,,,,,,false,false,"0",false,,"US8",,false
C-000042,"120v_OK",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000057,"120v_Outlet_Allowed",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIS32-0.1.4.1,"AIS32-0.1.4.1",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.1","AIS32",,false
AIS32-0.1.4.2,"AIS32-0.1.4.2",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.2","AIS32",,false
AIS32-0.1.4.3,"AIS32-0.1.4.3",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.3","AIS32",,false
AIS32-0.1.4.4,"AIS32-0.1.4.4",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.4","AIS32",,false
AOS32-0.1.4.1,"AOS32-0.1.4.1",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.4.1","AOS32",,false
AOS32-0.1.4.2,"AOS32-0.1.4.2",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.4.2","AOS32",,false
C-000177,"Air_Gun_Atomizer",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000198,"Air_Gun_Atomizer_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000212,"Air_Gun_Close",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000178,"Air_Gun_Fan",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000199,"Air_Gun_Fan_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000179,"Air_Gun_Open",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000197,"Air_Gun_Open_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001002,"Always Off Bit",false,"0",,,,,,,"Always off",,,,false,,"SBR",,false
C-000049,"Always_On_Bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
F32-000012,"Approach_adj",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
SBR-001017,"Array out of range error",false,"0",,,,,,,"Active if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"Average logic scan time",,,,false,,"SWR",,false
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"Average overall scan time",,,,false,,"SWR",,false
F32-000001,"Backstop_Set",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
SBR-001006,"Battery Disabled",false,"0",,,,,,,"Active if the ""CPU Battery Alarm"" is disabled in H/W Configuration",,,,false,,"SBR",,false
SBR-001005,"Battery Low Bit",false,"0",,,,,,,"Active if the battery is weak (""CPU Battery Alarm"" in H/W Configuration)",,,,false,,"SBR",,false
SWR-001518,"Battery Voltage",false,"0",,,,,,,"Battery voltage in 10ths of a volt",,,,false,,"SWR",,false
C-000180,"Blow_Double",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000196,"Blow_Double_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000181,"Bottom_Slide_In",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000192,"Bottom_Slide_In_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SSTR-000041,"CPU Event Log String 01",false,,,,50,,,,"Most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000042,"CPU Event Log String 02",false,,,,50,,,,"2nd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000043,"CPU Event Log String 03",false,,,,50,,,,"3rd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000044,"CPU Event Log String 04",false,,,,50,,,,"4th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000045,"CPU Event Log String 05",false,,,,50,,,,"5th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000046,"CPU Event Log String 06",false,,,,50,,,,"6th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000047,"CPU Event Log String 07",false,,,,50,,,,"7th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000048,"CPU Event Log String 08",false,,,,50,,,,"8th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000049,"CPU Event Log String 09",false,,,,50,,,,"9th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000050,"CPU Event Log String 10",false,,,,50,,,,"10th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000051,"CPU Event Log String 11",false,,,,50,,,,"11th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000052,"CPU Event Log String 12",false,,,,50,,,,"12th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000053,"CPU Event Log String 13",false,,,,50,,,,"13th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000054,"CPU Event Log String 14",false,,,,50,,,,"14th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000055,"CPU Event Log String 15",false,,,,50,,,,"15th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000056,"CPU Event Log String 16",false,,,,50,,,,"16th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000057,"CPU Event Log String 17",false,,,,50,,,,"17th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000058,"CPU Event Log String 18",false,,,,50,,,,"18th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000059,"CPU Event Log String 19",false,,,,50,,,,"19th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000060,"CPU Event Log String 20",false,,,,50,,,,"20th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000101,"CPU Model Name",false,,,,50,,,,"CPU Model (ex: ""P3-550"")",,,,false,,"SSTR",,false
SSTR-000102,"CPU Program File Name",false,,,,50,,,,"CPU program file name",,,,false,,"SSTR",,false
SBR-001001,"CPU in Run",false,"0",,,,,,,"Active during Run or Debug mode",,,,false,,"SBR",,false
SWR-001523,"Clock Day",false,"0",,,,,,,"Current Real Time Clock Calendar Day",,,,false,,"SWR",,false
SWRW-001754,"Clock Day Set",false,"0",,,,,,,"New Real Time Clock Day (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001522,"Clock Day of Week",false,"0",,,,,,,"Current Real Time Clock Day of the week (1=Mon ...7=Sun)",,,,false,,"SWR",,false
SWR-001521,"Clock Hours",false,"0",,,,,,,"Current Real Time Clock Hours",,,,false,,"SWR",,false
SWRW-001753,"Clock Hours Set",false,"0",,,,,,,"New Real Time Clock Hours (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001520,"Clock Minutes",false,"0",,,,,,,"Current Real Time Clock Minutes",,,,false,,"SWR",,false
SWRW-001752,"Clock Minutes Set",false,"0",,,,,,,"New Real Time Clock Minutes (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001524,"Clock Month",false,"0",,,,,,,"Current Real Time Clock Calendar Month",,,,false,,"SWR",,false
SWRW-001755,"Clock Month Set",false,"0",,,,,,,"New Real Time Clock Month (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001519,"Clock Seconds",false,"0",,,,,,,"Current Real Time Clock Seconds",,,,false,,"SWR",,false
SWRW-001751,"Clock Seconds Set",false,"0",,,,,,,"New Real Time Clock Seconds (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001525,"Clock Year",false,"0",,,,,,,"Current Real Time Clock Calendar Year",,,,false,,"SWR",,false
SWRW-001756,"Clock Year Set",false,"0",,,,,,,"New Real Time Clock Year (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
S16-000032,"Column_Count",false,"0",,,,,,,,false,false,"0",false,,"S16",,false
SBR-001012,"Critical Error Bit",false,"0",,,,,,,"Active when a critical error is present",,,,false,,"SBR",,false
SWR-000001,"Critical Error Log 01",false,"0",,,,,,,"Most recent critical error",,,,false,,"SWR",,false
SWR-000002,"Critical Error Log 02",false,"0",,,,,,,"2nd most recent critical error",,,,false,,"SWR",,false
SWR-000003,"Critical Error Log 03",false,"0",,,,,,,"3rd most recent critical error",,,,false,,"SWR",,false
SWR-000004,"Critical Error Log 04",false,"0",,,,,,,"4th most recent critical error",,,,false,,"SWR",,false
SWR-000005,"Critical Error Log 05",false,"0",,,,,,,"5th most recent critical error",,,,false,,"SWR",,false
SWR-000006,"Critical Error Log 06",false,"0",,,,,,,"6th most recent critical error",,,,false,,"SWR",,false
SWR-000007,"Critical Error Log 07",false,"0",,,,,,,"7th most recent critical error",,,,false,,"SWR",,false
SWR-000008,"Critical Error Log 08",false,"0",,,,,,,"8th most recent critical error",,,,false,,"SWR",,false
SWR-000009,"Critical Error Log 09",false,"0",,,,,,,"9th most recent critical error",,,,false,,"SWR",,false
SWR-000010,"Critical Error Log 10",false,"0",,,,,,,"10th most recent critical error",,,,false,,"SWR",,false
SWR-000011,"Critical Error Log 11",false,"0",,,,,,,"11th most recent critical error",,,,false,,"SWR",,false
SWR-000012,"Critical Error Log 12",false,"0",,,,,,,"12th most recent critical error",,,,false,,"SWR",,false
SWR-000013,"Critical Error Log 13",false,"0",,,,,,,"13th most recent critical error",,,,false,,"SWR",,false
SWR-000014,"Critical Error Log 14",false,"0",,,,,,,"14th most recent critical error",,,,false,,"SWR",,false
SWR-000015,"Critical Error Log 15",false,"0",,,,,,,"15th most recent critical error",,,,false,,"SWR",,false
SWR-000016,"Critical Error Log 16",false,"0",,,,,,,"16th most recent critical error",,,,false,,"SWR",,false
SWR-000017,"Critical Error Log 17",false,"0",,,,,,,"17th most recent critical error",,,,false,,"SWR",,false
SWR-000018,"Critical Error Log 18",false,"0",,,,,,,"18th most recent critical error",,,,false,,"SWR",,false
SWR-000019,"Critical Error Log 19",false,"0",,,,,,,"19th most recent critical error",,,,false,,"SWR",,false
SWR-000020,"Critical Error Log 20",false,"0",,,,,,,"20th most recent critical error",,,,false,,"SWR",,false
SSTR-000001,"Critical Error Log String 01",false,,,,50,,,,"Most recent critical error message",,,,false,,"SSTR",,false
SSTR-000002,"Critical Error Log String 02",false,,,,50,,,,"2nd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000003,"Critical Error Log String 03",false,,,,50,,,,"3rd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,,false,,"SSTR",,false
SWR-001510,"Current Critical Error",false,"0",,,,,,,"Current Critical Error number (0 if no active errors present)",,,,false,,"SWR",,false
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"Current Non-Critical Error number (0 if no active errors present)",,,,false,,"SWR",,false
C-000147,"Cycle_Complete",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000039,"Cycle_Start",false,"0",,,,,,,,false,false,"0",false,,"C",,false
DI-0.1.3.1,"DI-0.1.3.1",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.1","DI",,false
DI-0.1.3.10,"DI-0.1.3.10",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.10","DI",,false
DI-0.1.3.11,"DI-0.1.3.11",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.11","DI",,false
DI-0.1.3.12,"DI-0.1.3.12",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.12","DI",,false
DI-0.1.3.13,"DI-0.1.3.13",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.13","DI",,false
DI-0.1.3.14,"DI-0.1.3.14",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.14","DI",,false
DI-0.1.3.15,"DI-0.1.3.15",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.15","DI",,false
DI-0.1.3.16,"DI-0.1.3.16",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.16","DI",,false
DI-0.1.3.2,"DI-0.1.3.2",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.2","DI",,false
DI-0.1.3.3,"DI-0.1.3.3",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.3","DI",,false
DI-0.1.3.4,"DI-0.1.3.4",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.4","DI",,false
DI-0.1.3.5,"DI-0.1.3.5",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.5","DI",,false
DI-0.1.3.6,"DI-0.1.3.6",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.6","DI",,false
DI-0.1.3.7,"DI-0.1.3.7",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.7","DI",,false
DI-0.1.3.8,"DI-0.1.3.8",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.8","DI",,false
DI-0.1.3.9,"DI-0.1.3.9",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.3.9","DI",,false
DO-0.1.1.1,"DO-0.1.1.1",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.1","DO",,false
DO-0.1.1.10,"DO-0.1.1.10",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.10","DO",,false
DO-0.1.1.11,"DO-0.1.1.11",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.11","DO",,false
DO-0.1.1.12,"DO-0.1.1.12",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.12","DO",,false
DO-0.1.1.13,"DO-0.1.1.13",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.13","DO",,false
DO-0.1.1.14,"DO-0.1.1.14",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.14","DO",,false
DO-0.1.1.15,"DO-0.1.1.15",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.15","DO",,false
DO-0.1.1.2,"DO-0.1.1.2",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.2","DO",,false
DO-0.1.1.3,"DO-0.1.1.3",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.3","DO",,false
DO-0.1.1.4,"DO-0.1.1.4",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.4","DO",,false
DO-0.1.1.5,"DO-0.1.1.5",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.5","DO",,false
DO-0.1.1.6,"DO-0.1.1.6",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.6","DO",,false
DO-0.1.1.7,"DO-0.1.1.7",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.7","DO",,false
DO-0.1.1.8,"DO-0.1.1.8",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.8","DO",,false
DO-0.1.1.9,"DO-0.1.1.9",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.1.9","DO",,false
DO-0.1.2.1,"DO-0.1.2.1",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.1","DO",,false
DO-0.1.2.10,"DO-0.1.2.10",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.10","DO",,false
DO-0.1.2.11,"DO-0.1.2.11",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.11","DO",,false
DO-0.1.2.12,"DO-0.1.2.12",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.12","DO",,false
DO-0.1.2.13,"DO-0.1.2.13",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.13","DO",,false
DO-0.1.2.14,"DO-0.1.2.14",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.14","DO",,false
DO-0.1.2.15,"DO-0.1.2.15",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.15","DO",,false
DO-0.1.2.2,"DO-0.1.2.2",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.2","DO",,false
DO-0.1.2.3,"DO-0.1.2.3",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.3","DO",,false
DO-0.1.2.4,"DO-0.1.2.4",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.4","DO",,false
DO-0.1.2.5,"DO-0.1.2.5",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.5","DO",,false
DO-0.1.2.6,"DO-0.1.2.6",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.6","DO",,false
DO-0.1.2.7,"DO-0.1.2.7",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.7","DO",,false
DO-0.1.2.8,"DO-0.1.2.8",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.8","DO",,false
DO-0.1.2.9,"DO-0.1.2.9",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.2.9","DO",,false
C-000010,"Dummy",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000207,"ESTOP",false,"0",,,,,,,,false,false,"0",false,,"C",,false
